<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;15;09/09/20;1700;116.4300000;116.6000000;115.3900000;116.3500000;445740
US1.AAPL;15;09/09/20;1715;116.3800000;117.2500000;115.8100000;116.4600000;385973
US1.AAPL;15;09/09/20;1730;116.4900000;117.7000000;116.2000000;117.6500000;367660
US1.AAPL;15;09/09/20;1745;117.6300000;118.0800000;116.9300000;117.5600000;289277
US1.AAPL;15;09/09/20;1800;117.6000000;118.1800000;117.4700000;117.8200000;260189
US1.AAPL;15;09/09/20;1815;117.8600000;118.4600000;117.3200000;117.5800000;256577
US1.AAPL;15;09/09/20;1830;117.5800000;117.9400000;116.9800000;117.8400000;159578
US1.AAPL;15;09/09/20;1845;117.8550000;117.9200000;117.3200000;117.6000000;127005
US1.AAPL;15;09/09/20;1900;117.6300000;118.0000000;117.5300000;117.8400000;125125
US1.AAPL;15;09/09/20;1915;117.8400000;118.3000000;117.6700000;118.1500000;194315
US1.AAPL;15;09/09/20;1930;118.1500000;118.2700000;117.7700000;117.9500000;141420
US1.AAPL;15;09/09/20;1945;118.0200000;118.3000000;117.8000000;118.2700000;136441
US1.AAPL;15;09/09/20;2000;118.2600000;118.5300000;118.1500000;118.4200000;157378
US1.AAPL;15;09/09/20;2015;118.4800000;119.1300000;118.4800000;118.7700000;211685
US1.AAPL;15;09/09/20;2030;118.7700000;118.7900000;118.0800000;118.2800000;185708
US1.AAPL;15;09/09/20;2045;118.2900000;118.3900000;117.5300000;117.5600000;178411
US1.AAPL;15;09/09/20;2100;117.5700000;118.0000000;117.3100000;117.4100000;161200
US1.AAPL;15;09/09/20;2115;117.4400000;117.7500000;117.1000000;117.4800000;177685
US1.AAPL;15;09/09/20;2130;117.5050000;117.8900000;117.3500000;117.5400000;131558
US1.AAPL;15;09/09/20;2145;117.5500000;118.2800000;117.5500000;118.0200000;150988
US1.AAPL;15;09/09/20;2200;118.0300000;118.1800000;117.7600000;117.9000000;144712
US1.AAPL;15;09/09/20;2215;117.9200000;118.0600000;117.5200000;117.5400000;162256
US1.AAPL;15;09/09/20;2230;117.5500000;117.9900000;117.5400000;117.8000000;182928
US1.AAPL;15;09/09/20;2245;117.7800000;118.1500000;117.5000000;117.6200000;278328
US1.AAPL;15;09/09/20;2300;117.5600000;118.1500000;117.0000000;117.1800000;819398
US1.AAPL;15;09/10/20;1645;120.4600000;120.4900000;118.4400000;118.7900000;663235
US1.AAPL;15;09/10/20;1700;118.7800000;119.1900000;118.1250000;118.9600000;322384
US1.AAPL;15;09/10/20;1715;118.9600000;119.6400000;118.7900000;119.0000000;276139
US1.AAPL;15;09/10/20;1730;118.9600000;119.2700000;118.1800000;118.2600000;211890
US1.AAPL;15;09/10/20;1745;118.2400000;118.6700000;117.5100000;117.5400000;208832
US1.AAPL;15;09/10/20;1800;117.5400000;117.7600000;116.0300000;116.1100000;449894
US1.AAPL;15;09/10/20;1815;116.1300000;117.1500000;115.5700000;116.8200000;286975
US1.AAPL;15;09/10/20;1830;116.8300000;117.5400000;116.1700000;117.5200000;201694
US1.AAPL;15;09/10/20;1845;117.5200000;117.6700000;116.7800000;117.5500000;159420
US1.AAPL;15;09/10/20;1900;117.5800000;117.6000000;116.6200000;116.8900000;171507
US1.AAPL;15;09/10/20;1915;116.8600000;117.3500000;116.4200000;116.8600000;220871
US1.AAPL;15;09/10/20;1930;116.8000000;117.1000000;116.1500000;116.5500000;192527
US1.AAPL;15;09/10/20;1945;116.5300000;116.7900000;115.8200000;115.9400000;218136
US1.AAPL;15;09/10/20;2000;115.8600000;116.5900000;115.8600000;116.4800000;97853
US1.AAPL;15;09/10/20;2015;116.4800000;116.8800000;116.1600000;116.3100000;133351
US1.AAPL;15;09/10/20;2030;116.4000000;116.7300000;115.9500000;116.1500000;152611
US1.AAPL;15;09/10/20;2045;116.1900000;116.3800000;115.6700000;115.7100000;147654
US1.AAPL;15;09/10/20;2100;115.7200000;115.9900000;115.2000000;115.2600000;230643
US1.AAPL;15;09/10/20;2115;115.2500000;115.8300000;115.0900000;115.1700000;157764
US1.AAPL;15;09/10/20;2130;115.1500000;115.2000000;113.0500000;113.0700000;612635
US1.AAPL;15;09/10/20;2145;113.0800000;114.3000000;112.9700000;113.5300000;474955
US1.AAPL;15;09/10/20;2200;113.5400000;114.3500000;113.5000000;114.2100000;258534
US1.AAPL;15;09/10/20;2215;114.2350000;114.2600000;112.5200000;112.8800000;438724
US1.AAPL;15;09/10/20;2230;112.8800000;113.4600000;112.5000000;113.3400000;385185
US1.AAPL;15;09/10/20;2245;113.3200000;114.2300000;113.1400000;113.9800000;378503
US1.AAPL;15;09/10/20;2300;113.9800000;114.0900000;113.2200000;113.4100000;726664
US1.AAPL;15;09/11/20;1645;114.6100000;115.2200000;113.1700000;113.1900000;439350
US1.AAPL;15;09/11/20;1700;113.1500000;114.2700000;112.2600000;112.7100000;447478
US1.AAPL;15;09/11/20;1715;112.7200000;112.9400000;111.0800000;111.9700000;425777
US1.AAPL;15;09/11/20;1730;111.9500000;113.1700000;111.4000000;112.7400000;377170
US1.AAPL;15;09/11/20;1745;112.6700000;113.0400000;111.8800000;112.8100000;344507
US1.AAPL;15;09/11/20;1800;112.8800000;113.6500000;112.5000000;112.5400000;289985
US1.AAPL;15;09/11/20;1815;112.6700000;113.8100000;112.5500000;113.7600000;196475
US1.AAPL;15;09/11/20;1830;113.7200000;113.8700000;112.2600000;112.4600000;226663
US1.AAPL;15;09/11/20;1845;112.4100000;112.4100000;111.5700000;112.1100000;239388
US1.AAPL;15;09/11/20;1900;112.1000000;112.2000000;111.5000000;111.5600000;214585
US1.AAPL;15;09/11/20;1915;111.5400000;112.0600000;111.4500000;111.9000000;247954
US1.AAPL;15;09/11/20;1930;111.9100000;112.4100000;111.7100000;111.9400000;204458
US1.AAPL;15;09/11/20;1945;111.9300000;111.9300000;110.9100000;111.2000000;350548
US1.AAPL;15;09/11/20;2000;111.2100000;111.6600000;110.7100000;110.7500000;227004
US1.AAPL;15;09/11/20;2015;110.7300000;111.1000000;110.1800000;110.4600000;462290
US1.AAPL;15;09/11/20;2030;110.4300000;110.8300000;110.1000000;110.2400000;308217
US1.AAPL;15;09/11/20;2045;110.2000000;111.0800000;110.0300000;110.6900000;344567
US1.AAPL;15;09/11/20;2100;110.7000000;111.3500000;110.4100000;110.4300000;256704
US1.AAPL;15;09/11/20;2115;110.4200000;111.6300000;110.2800000;111.4300000;251035
US1.AAPL;15;09/11/20;2130;111.4150000;111.4500000;110.8900000;111.0300000;168196
US1.AAPL;15;09/11/20;2145;111.0800000;112.2200000;111.0500000;112.0500000;277594
US1.AAPL;15;09/11/20;2200;112.0300000;112.0700000;111.3000000;111.3000000;230650
US1.AAPL;15;09/11/20;2215;111.3100000;111.4500000;110.7000000;111.1500000;277065
US1.AAPL;15;09/11/20;2230;111.1700000;112.0900000;111.0200000;111.9800000;360557
US1.AAPL;15;09/11/20;2245;112.0000000;112.5500000;111.2200000;111.9100000;430976
US1.AAPL;15;09/11/20;2300;111.9500000;112.2300000;111.5500000;111.9600000;502392
US1.AAPL;15;09/14/20;1645;114.7000000;114.9300000;113.5600000;114.7400000;436587
US1.AAPL;15;09/14/20;1700;114.7800000;115.7100000;114.7300000;114.8600000;467887
US1.AAPL;15;09/14/20;1715;114.8300000;115.4000000;114.4300000;115.1000000;223750
US1.AAPL;15;09/14/20;1730;115.1200000;115.1800000;114.7300000;115.0100000;257605
